state,statecode,district_code,cdid,candidate_name,party,winner,incumbent,votes,percent,p_per
Alabama,01,01,0101,Carl,Republican,True,True,139854,0.842,0.842
Alabama,01,01,0101,Remrey,Libertarian,False,False,26197,0.158,0.158
Alabama,01,02,0102,Moore,Republican,True,True,137193,0.692,0.692
Alabama,01,02,0102,Harvey-Hall,Democratic,False,False,57800,0.291,-0.291
Alabama,01,02,0102,Realz,Libertarian,False,False,3380,0.017,0.017
Alabama,01,03,0103,Rogers,Republican,True,True,135448,0.713,0.713
Alabama,01,03,0103,Veasey,Democratic,False,False,47770,0.251,-0.251
Alabama,01,03,0103,Bell,,False,False,3826,0.02,0.02
Alabama,01,03,0103,Casson,Libertarian,False,False,3027,0.016,0.016
Alabama,01,04,0104,Aderholt,Republican,True,True,164371,0.842,0.842
Alabama,01,04,0104,Neighbors,Democratic,False,False,26628,0.136,-0.136
Alabama,01,04,0104,Cochran,Libertarian,False,False,4294,0.022,0.022
Alabama,01,05,0105,Strong,Republican,True,False,141988,0.672,0.672
Alabama,01,05,0105,Warner-Stanton,Democratic,False,False,62466,0.296,-0.296
Alabama,01,05,0105,Greer,Libertarian,False,False,6740,0.032,0.032
Alabama,01,06,0106,Palmer,Republican,True,True,154058,0.847,0.847
Alabama,01,06,0106,Chieffo,Libertarian,False,False,27792,0.153,0.153
Alabama,01,07,0107,Sewell,Democratic,True,True,123060,0.636,-0.636
Alabama,01,07,0107,Nichols,Republican,False,False,67353,0.348,0.348
Alabama,01,07,0107,Goodman,Libertarian,False,False,3207,0.017,0.017
Alaska,02,00,0200,Mary Peltola,Democratic,True,True,136893,0.549,-0.549
Alaska,02,00,0200,Sarah Palin,Republican,False,False,112255,0.451,0.451
Alaska,02,00,0200,Nick Begich,Republican,False,False,0,0.0,0.0
Alaska,02,00,0200,Chris Bye,Libertarian,False,False,0,0.0,0.0
Alaska,02,00,0200,Total Write-Ins,,False,False,0,0.0,0.0
Arizona,04,01,0401,Schweikert,Republican,True,True,182336,0.504,0.504
Arizona,04,01,0401,Hodge,Democratic,False,False,179141,0.496,-0.496
Arizona,04,02,0402,Crane,Republican,True,False,174169,0.539,0.539
Arizona,04,02,0402,O'Halleran,Democratic,False,True,149150,0.461,-0.461
Arizona,04,03,0403,Gallego,Democratic,True,True,108599,0.77,-0.77
Arizona,04,03,0403,Zink,Republican,False,False,32475,0.23,0.23
Arizona,04,04,0404,Stanton,Democratic,True,True,148941,0.561,-0.561
Arizona,04,04,0404,Cooper,Republican,False,False,116521,0.439,0.439
Arizona,04,05,0405,Biggs,Republican,True,True,182464,0.567,0.567
Arizona,04,05,0405,Ramos,Democratic,False,False,120243,0.374,-0.374
Arizona,04,05,0405,Smith,,False,False,18851,0.059,0.059
Arizona,04,06,0406,Ciscomani,Republican,True,False,177201,0.507,0.507
Arizona,04,06,0406,Engel,Democratic,False,False,171969,0.493,-0.493
Arizona,04,07,0407,Grijalva,Democratic,True,True,126418,0.645,-0.645
Arizona,04,07,0407,Pozzolo,Republican,False,False,69444,0.355,0.355
Arizona,04,08,0408,Lesko,Republican,True,True,0,1.0,1.0
Arizona,04,09,0409,Gosar,Republican,True,True,0,1.0,1.0
Arkansas,05,01,0501,Crawford,Republican,True,True,152933,0.738,0.738
Arkansas,05,01,0501,Hodges,Democratic,False,False,54240,0.262,-0.262
Arkansas,05,02,0502,Hill,Republican,True,True,147700,0.601,0.601
Arkansas,05,02,0502,Hathaway,Democratic,False,False,86553,0.352,-0.352
Arkansas,05,02,0502,White,Libertarian,False,False,11564,0.047,0.047
Arkansas,05,03,0503,Womack,Republican,True,True,142270,0.637,0.637
Arkansas,05,03,0503,Mallett-Hays,Democratic,False,False,73446,0.329,-0.329
Arkansas,05,03,0503,Kalagias,Libertarian,False,False,7637,0.034,0.034
Arkansas,05,04,0504,Westerman,Republican,True,True,153694,0.71,0.71
Arkansas,05,04,0504,White,Democratic,False,False,56661,0.262,-0.262
Arkansas,05,04,0504,Maxwell,Libertarian,False,False,6087,0.028,0.028
California,06,01,0601,LaMalfa,Republican,True,True,152839,0.621,0.621
California,06,01,0601,Steiner,Democratic,False,False,93386,0.379,-0.379
California,06,02,0602,Huffman,Democratic,True,True,229720,0.744,-0.744
California,06,02,0602,Brower,Republican,False,False,79029,0.256,0.256
California,06,03,0603,Kiley,Republican,True,False,181438,0.536,0.536
California,06,03,0603,Jones,Democratic,False,False,156761,0.464,-0.464
California,06,04,0604,Thompson,Democratic,True,True,176900,0.678,-0.678
California,06,04,0604,Brock,Republican,False,False,84007,0.322,0.322
California,06,05,0605,McClintock,Republican,True,True,173524,0.613,0.613
California,06,05,0605,Barkley,Democratic,False,False,109506,0.387,-0.387
California,06,06,0606,Bera,Democratic,True,True,121058,0.559,-0.559
California,06,06,0606,Hamilton,Republican,False,False,95325,0.441,0.441
California,06,07,0607,Matsui,Democratic,True,True,150618,0.683,-0.683
California,06,07,0607,Semenenko,Republican,False,False,70033,0.317,0.317
California,06,08,0608,Garamendi,Democratic,True,True,145501,0.757,-0.757
California,06,08,0608,Recile,Republican,False,False,46634,0.243,0.243
California,06,09,0609,Harder,Democratic,True,True,95598,0.548,-0.548
California,06,09,0609,Patti,Republican,False,False,78802,0.452,0.452
California,06,10,0610,DeSaulnier,Democratic,True,True,198415,0.789,-0.789
California,06,10,0610,Kerr,,False,False,52965,0.211,0.211
California,06,11,0611,Pelosi,Democratic,True,True,220848,0.84,-0.84
California,06,11,0611,Dennis,Republican,False,False,42217,0.16,0.16
California,06,12,0612,Lee,Democratic,True,True,217110,0.905,-0.905
California,06,12,0612,Slauson,Republican,False,False,22859,0.095,0.095
California,06,13,0613,Duarte,Republican,True,False,67060,0.502,0.502
California,06,13,0613,Gray,Democratic,False,False,66496,0.498,-0.498
California,06,14,0614,Swalwell,Democratic,True,True,137612,0.693,-0.693
California,06,14,0614,Hayden,Republican,False,False,60852,0.307,0.307
California,06,15,0615,Mullin,Democratic,True,False,108077,0.555,-0.555
California,06,15,0615,Canepa,Democratic,False,False,86797,0.445,-0.445
California,06,16,0616,Eshoo,Democratic,True,True,139235,0.578,-0.578
California,06,16,0616,Kumar,Democratic,False,False,101772,0.422,-0.422
California,06,17,0617,Khanna,Democratic,True,True,127853,0.709,-0.709
California,06,17,0617,Tandon,Republican,False,False,52400,0.291,0.291
California,06,18,0618,Lofgren,Democratic,True,True,99776,0.659,-0.659
California,06,18,0618,Hernandez,Republican,False,False,51737,0.341,0.341
California,06,19,0619,Panetta,Democratic,True,True,194494,0.687,-0.687
California,06,19,0619,Gorman,Republican,False,False,88816,0.313,0.313
California,06,20,0620,McCarthy,Republican,True,True,153844,0.672,0.672
California,06,20,0620,Wood,Democratic,False,False,74932,0.328,-0.328
California,06,21,0621,Costa,Democratic,True,True,68074,0.542,-0.542
California,06,21,0621,Maher,Republican,False,False,57573,0.458,0.458
California,06,22,0622,Valadao,Republican,True,True,52993,0.515,0.515
California,06,22,0622,Salas,Democratic,False,False,49859,0.485,-0.485
California,06,23,0623,Obernolte,Republican,True,True,103197,0.61,0.61
California,06,23,0623,Marshall,Democratic,False,False,65908,0.39,-0.39
California,06,24,0624,Carbajal,Democratic,True,True,159019,0.606,-0.606
California,06,24,0624,Allen,Republican,False,False,103533,0.394,0.394
California,06,25,0625,Ruiz,Democratic,True,True,87641,0.574,-0.574
California,06,25,0625,Hawkins,Republican,False,False,65101,0.426,0.426
California,06,26,0626,Brownley,Democratic,True,True,134575,0.545,-0.545
California,06,26,0626,Jacobs,Republican,False,False,112214,0.455,0.455
California,06,27,0627,Garcia,Republican,True,True,104624,0.532,0.532
California,06,27,0627,Smith,Democratic,False,False,91892,0.468,-0.468
California,06,28,0628,Chu,Democratic,True,True,150062,0.662,-0.662
California,06,28,0628,Hallman,Republican,False,False,76495,0.338,0.338
California,06,29,0629,Cardenas,Democratic,True,True,69915,0.585,-0.585
California,06,29,0629,Duenas,Democratic,False,False,49520,0.415,-0.415
California,06,30,0630,Schiff,Democratic,True,True,150100,0.711,-0.711
California,06,30,0630,Pudlo,Democratic,False,False,60968,0.289,-0.289
California,06,31,0631,Napolitano,Democratic,True,True,91472,0.595,-0.595
California,06,31,0631,Martinez,Republican,False,False,62153,0.405,0.405
California,06,32,0632,Sherman,Democratic,True,True,167411,0.692,-0.692
California,06,32,0632,Volotzky,Republican,False,False,74618,0.308,0.308
California,06,33,0633,Aguilar,Democratic,True,True,76588,0.577,-0.577
California,06,33,0633,Porter,Republican,False,False,56119,0.423,0.423
California,06,34,0634,Gomez,Democratic,True,True,62244,0.512,-0.512
California,06,34,0634,Kim,Democratic,False,False,59223,0.488,-0.488
California,06,35,0635,Torres,Democratic,True,True,75121,0.574,-0.574
California,06,35,0635,Cargile,Republican,False,False,55832,0.426,0.426
California,06,36,0636,Lieu,Democratic,True,True,194299,0.698,-0.698
California,06,36,0636,Collins,Republican,False,False,84264,0.302,0.302
California,06,37,0637,Kamlager,Democratic,True,False,84338,0.64,-0.64
California,06,37,0637,Perry,Democratic,False,False,47542,0.36,-0.36
California,06,38,0638,Sanchez,Democratic,True,True,101260,0.581,-0.581
California,06,38,0638,Ching,Republican,False,False,73051,0.419,0.419
California,06,39,0639,Takano,Democratic,True,True,75896,0.577,-0.577
California,06,39,0639,Smith,Republican,False,False,55701,0.423,0.423
California,06,40,0640,Kim,Republican,True,True,161589,0.568,0.568
California,06,40,0640,Mahmood,Democratic,False,False,122722,0.432,-0.432
California,06,41,0641,Calvert,Republican,True,True,123869,0.523,0.523
California,06,41,0641,Rollins,Democratic,False,False,112769,0.477,-0.477
California,06,42,0642,Garcia,Democratic,True,False,99217,0.684,-0.684
California,06,42,0642,Briscoe,Republican,False,False,45903,0.316,0.316
California,06,43,0643,Waters,Democratic,True,True,95462,0.773,-0.773
California,06,43,0643,Navarro,Republican,False,False,27985,0.227,0.227
California,06,44,0644,Barragan,Democratic,True,True,100160,0.722,-0.722
California,06,44,0644,Jones,Republican,False,False,38554,0.278,0.278
California,06,45,0645,Steel,Republican,True,True,113960,0.524,0.524
California,06,45,0645,Chen,Democratic,False,False,103466,0.476,-0.476
California,06,46,0646,Correa,Democratic,True,True,78041,0.618,-0.618
California,06,46,0646,Gonzales,Republican,False,False,48257,0.382,0.382
California,06,47,0647,Porter,Democratic,True,True,137374,0.517,-0.517
California,06,47,0647,Baugh,Republican,False,False,128261,0.483,0.483
California,06,48,0648,Issa,Republican,True,True,155171,0.604,0.604
California,06,48,0648,Houlahan,Democratic,False,False,101900,0.396,-0.396
California,06,49,0649,Levin,Democratic,True,True,153541,0.526,-0.526
California,06,49,0649,Maryott,Republican,False,False,138194,0.474,0.474
California,06,50,0650,Peters,Democratic,True,True,168816,0.628,-0.628
California,06,50,0650,Gustafson,Republican,False,False,99819,0.372,0.372
California,06,51,0651,Jacobs,Democratic,True,True,144186,0.619,-0.619
California,06,51,0651,Caplan,Republican,False,False,88886,0.381,0.381
California,06,52,0652,Vargas,Democratic,True,True,100686,0.667,-0.667
California,06,52,0652,Geffeney,Republican,False,False,50330,0.333,0.333
Colorado,08,01,0801,DeGette,Democratic,True,True,226929,0.803,-0.803
Colorado,08,01,0801,Qualteri,Republican,False,False,49530,0.175,0.175
Colorado,08,01,0801,Kittleson,Libertarian,False,False,6157,0.022,0.022
Colorado,08,02,0802,Neguse,Democratic,True,True,244107,0.7,-0.7
Colorado,08,02,0802,Dawson,Republican,False,False,97700,0.28,0.28
Colorado,08,02,0802,Yurash,,False,False,2876,0.008,0.008
Colorado,08,02,0802,Nation,,False,False,2188,0.006,0.006
Colorado,08,02,0802,Wolf,,False,False,1968,0.006,0.006
Colorado,08,03,0803,Boebert,Republican,True,True,163839,0.501,0.501
Colorado,08,03,0803,Frisch,Democratic,False,False,163293,0.499,-0.499
Colorado,08,04,0804,Buck,Republican,True,True,216024,0.609,0.609
Colorado,08,04,0804,McCorkle,Democratic,False,False,129619,0.366,-0.366
Colorado,08,04,0804,McGonigal,,False,False,8870,0.025,0.025
Colorado,08,05,0805,Lamborn,Republican,True,True,155528,0.56,0.56
Colorado,08,05,0805,Torres,Democratic,False,False,111978,0.403,-0.403
Colorado,08,05,0805,Flanagan,Libertarian,False,False,7079,0.025,0.025
Colorado,08,05,0805,Mitchell,,False,False,3370,0.012,0.012
Colorado,08,06,0806,Crow,Democratic,True,True,170140,0.606,-0.606
Colorado,08,06,0806,Monahan,Republican,False,False,105084,0.374,0.374
Colorado,08,06,0806,Mulder,Libertarian,False,False,5531,0.02,0.02
Colorado,08,07,0807,Pettersen,Democratic,True,False,204984,0.564,-0.564
Colorado,08,07,0807,Aadland,Republican,False,False,150510,0.414,0.414
Colorado,08,07,0807,Klopf,Libertarian,False,False,6187,0.017,0.017
Colorado,08,07,0807,Milton,,False,False,1828,0.005,0.005
Colorado,08,08,0808,Caraveo,Democratic,True,False,114377,0.484,-0.484
Colorado,08,08,0808,Kirkmeyer,Republican,False,False,112745,0.477,0.477
Colorado,08,08,0808,Ward,Libertarian,False,False,9280,0.039,0.039
Connecticut,09,01,0901,Larson,Democratic,True,True,150355,0.614,-0.614
Connecticut,09,01,0901,Lazor,Republican,False,False,91536,0.374,0.374
Connecticut,09,01,0901,Sanders,,False,False,2848,0.012,0.012
Connecticut,09,02,0902,Courtney,Democratic,True,True,165947,0.582,-0.582
Connecticut,09,02,0902,France,Republican,False,False,114504,0.402,0.402
Connecticut,09,02,0902,Blacker,,False,False,2437,0.009,0.009
Connecticut,09,02,0902,Hall,Libertarian,False,False,2140,0.008,0.008
Connecticut,09,03,0903,DeLauro,Democratic,True,True,137924,0.568,-0.568
Connecticut,09,03,0903,DeNardis,Republican,False,False,98704,0.407,0.407
Connecticut,09,03,0903,Chai,,False,False,4056,0.017,0.017
Connecticut,09,03,0903,Paglino,,False,False,1967,0.008,0.008
Connecticut,09,04,0904,Himes,Democratic,True,True,140246,0.595,-0.595
Connecticut,09,04,0904,Stevenson,Republican,False,False,95518,0.405,0.405
Connecticut,09,05,0905,Hayes,Democratic,True,True,127795,0.504,-0.504
Connecticut,09,05,0905,Logan,Republican,False,False,125834,0.496,0.496
Delaware,10,00,1000,Lisa Rochester,Democratic,True,True,178416,0.555,-0.555
Delaware,10,00,1000,Lee Murphy,Republican,False,False,138201,0.43,0.43
Delaware,10,00,1000,Cody McNutt,Libertarian,False,False,3074,0.01,0.01
Delaware,10,00,1000,David Rogers,,False,False,1958,0.006,0.006
Florida,12,01,1201,Gaetz,Republican,True,True,197320,0.679,0.679
Florida,12,01,1201,Jones,Democratic,False,False,93416,0.321,-0.321
Florida,12,02,1202,Dunn,Republican,True,True,180218,0.598,0.598
Florida,12,02,1202,Lawson,Democratic,False,True,121120,0.402,-0.402
Florida,12,03,1203,Cammack,Republican,True,True,178090,0.625,0.625
Florida,12,03,1203,Hawk,Democratic,False,False,103342,0.363,-0.363
Florida,12,03,1203,Brooks,,False,False,3410,0.012,0.012
Florida,12,04,1204,Bean,Republican,True,False,165678,0.605,0.605
Florida,12,04,1204,Holloway,Democratic,False,False,108358,0.395,-0.395
Florida,12,05,1205,Rutherford,Republican,True,True,0,1.0,1.0
Florida,12,06,1206,Waltz,Republican,True,True,226490,0.753,0.753
Florida,12,06,1206,Hannoush,Libertarian,False,False,74173,0.247,0.247
Florida,12,07,1207,Mills,Republican,True,False,177957,0.585,0.585
Florida,12,07,1207,Green,Democratic,False,False,126052,0.415,-0.415
Florida,12,08,1208,Posey,Republican,True,True,222119,0.649,0.649
Florida,12,08,1208,Terry,Democratic,False,False,120050,0.351,-0.351
Florida,12,09,1209,Soto,Democratic,True,True,108522,0.536,-0.536
Florida,12,09,1209,Moore,Republican,False,False,93815,0.464,0.464
Florida,12,10,1210,Frost,Democratic,True,False,117929,0.59,-0.59
Florida,12,10,1210,Wimbish,Republican,False,False,78838,0.394,0.394
Florida,12,10,1210,Holic,,False,False,2001,0.01,0.01
Florida,12,10,1210,Jain,,False,False,1110,0.006,0.006
Florida,12,11,1211,Webster,Republican,True,True,205989,0.631,0.631
Florida,12,11,1211,Munns,Democratic,False,False,115629,0.354,-0.354
Florida,12,11,1211,Porter,,False,False,4967,0.015,0.015
Florida,12,12,1212,Bilirakis,Republican,True,True,226579,0.704,0.704
Florida,12,12,1212,Walker,Democratic,False,False,95368,0.296,-0.296
Florida,12,13,1213,Luna,Republican,True,False,181473,0.531,0.531
Florida,12,13,1213,Lynn,Democratic,False,False,153839,0.451,-0.451
Florida,12,13,1213,Craft,Libertarian,False,False,6158,0.018,0.018
Florida,12,14,1214,Castor,Democratic,True,True,149689,0.569,-0.569
Florida,12,14,1214,Judge,Republican,False,False,113408,0.431,0.431
Florida,12,15,1215,Lee,Republican,True,False,145211,0.585,0.585
Florida,12,15,1215,Cohn,Democratic,False,False,102816,0.415,-0.415
Florida,12,16,1216,Buchanan,Republican,True,True,189738,0.622,0.622
Florida,12,16,1216,Schneider,Democratic,False,False,115537,0.378,-0.378
Florida,12,17,1217,Steube,Republican,True,True,222433,0.638,0.638
Florida,12,17,1217,Kale,Democratic,False,False,123739,0.355,-0.355
Florida,12,17,1217,Murray,,False,False,2222,0.006,0.006
Florida,12,18,1218,Franklin,Republican,True,True,167393,0.747,0.747
Florida,12,18,1218,Hayden,,False,False,56622,0.253,0.253
Florida,12,19,1219,Donalds,Republican,True,True,213032,0.68,0.68
Florida,12,19,1219,Banyai,Democratic,False,False,100198,0.32,-0.32
Florida,12,20,1220,Cherfilus-McCormick,Democratic,True,True,136192,0.723,-0.723
Florida,12,20,1220,Clark,Republican,False,False,52150,0.277,0.277
Florida,12,21,1221,Mast,Republican,True,True,208592,0.635,0.635
Florida,12,21,1221,Balderramos Robinson,Democratic,False,False,119859,0.365,-0.365
Florida,12,22,1222,Frankel,Democratic,True,True,149977,0.551,-0.551
Florida,12,22,1222,Franzese,Republican,False,False,122187,0.449,0.449
Florida,12,23,1223,Moskowitz,Democratic,True,False,143897,0.516,-0.516
Florida,12,23,1223,Budd,Republican,False,False,130669,0.468,0.468
Florida,12,23,1223,Scott,,False,False,3079,0.011,0.011
Florida,12,23,1223,Napier,,False,False,1338,0.005,0.005
Florida,12,24,1224,Wilson,Democratic,True,True,133416,0.718,-0.718
Florida,12,24,1224,Navarro,Republican,False,False,52442,0.282,0.282
Florida,12,25,1225,Wasserman Schultz,Democratic,True,True,129085,0.551,-0.551
Florida,12,25,1225,Spalding,Republican,False,False,105227,0.449,0.449
Florida,12,26,1226,Diaz-Balart,Republican,True,True,143226,0.709,0.709
Florida,12,26,1226,Olivo,Democratic,False,False,58838,0.291,-0.291
Florida,12,27,1227,Salazar,Republican,True,True,136031,0.573,0.573
Florida,12,27,1227,Taddeo,Democratic,False,False,101370,0.427,-0.427
Florida,12,28,1228,Gimenez,Republican,True,True,134456,0.637,0.637
Florida,12,28,1228,Asencio,Democratic,False,False,76647,0.363,-0.363
Georgia,13,01,1301,Carter,Republican,True,True,156016,0.592,0.592
Georgia,13,01,1301,Herring,Democratic,False,False,107662,0.408,-0.408
Georgia,13,02,1302,Bishop,Democratic,True,True,132501,0.55,-0.55
Georgia,13,02,1302,West,Republican,False,False,108579,0.45,0.45
Georgia,13,03,1303,Ferguson,Republican,True,True,213461,0.688,0.688
Georgia,13,03,1303,Almonord,Democratic,False,False,96799,0.312,-0.312
Georgia,13,04,1304,Johnson,Democratic,True,True,216247,0.785,-0.785
Georgia,13,04,1304,Chavez,Republican,False,False,59272,0.215,0.215
Georgia,13,05,1305,Williams,Democratic,True,True,243471,0.825,-0.825
Georgia,13,05,1305,Zimm,Republican,False,False,51754,0.175,0.175
Georgia,13,06,1306,McCormick,Republican,True,False,206783,0.622,0.622
Georgia,13,06,1306,Christian,Democratic,False,False,125552,0.378,-0.378
Georgia,13,07,1307,McBath,Democratic,True,True,142852,0.61,-0.61
Georgia,13,07,1307,Gonsalves,Republican,False,False,91195,0.39,0.39
Georgia,13,08,1308,Scott,Republican,True,True,178601,0.686,0.686
Georgia,13,08,1308,Butler,Democratic,False,False,81773,0.314,-0.314
Georgia,13,09,1309,Clyde,Republican,True,True,212672,0.724,0.724
Georgia,13,09,1309,Ford,Democratic,False,False,81206,0.276,-0.276
Georgia,13,10,1310,Collins,Republican,True,False,198413,0.645,0.645
Georgia,13,10,1310,Johnson-Green,Democratic,False,False,109075,0.355,-0.355
Georgia,13,11,1311,Loudermilk,Republican,True,True,190035,0.626,0.626
Georgia,13,11,1311,Daza,Democratic,False,False,113535,0.374,-0.374
Georgia,13,12,1312,Allen,Republican,True,True,157951,0.596,0.596
Georgia,13,12,1312,Johnson,Democratic,False,False,107089,0.404,-0.404
Georgia,13,13,1313,Scott,Democratic,True,True,216150,0.818,-0.818
Georgia,13,13,1313,Gonzales,Republican,False,False,48209,0.182,0.182
Georgia,13,14,1314,Greene,Republican,True,True,170003,0.659,0.659
Georgia,13,14,1314,Flowers,Democratic,False,False,88074,0.341,-0.341
Hawaii,15,01,1501,Case,Democratic,True,True,142742,0.737,-0.737
Hawaii,15,01,1501,Kress,Republican,False,False,50833,0.263,0.263
Hawaii,15,02,1502,Tokuda,Democratic,True,False,127995,0.623,-0.623
Hawaii,15,02,1502,Akana,Republican,False,False,72455,0.352,0.352
Hawaii,15,02,1502,Tippens,Libertarian,False,False,5108,0.025,0.025
Idaho,16,01,1601,Fulcher,Republican,True,True,222891,0.713,0.713
Idaho,16,01,1601,Peterson,Democratic,False,False,82261,0.263,-0.263
Idaho,16,01,1601,Drake,Libertarian,False,False,7274,0.023,0.023
Idaho,16,02,1602,Simpson,Republican,True,True,172456,0.636,0.636
Idaho,16,02,1602,Norman,Democratic,False,False,98635,0.364,-0.364
Illinois,17,01,1701,Jackson,Democratic,True,False,151468,0.663,-0.663
Illinois,17,01,1701,Carlson,Republican,False,False,77146,0.337,0.337
Illinois,17,02,1702,Kelly,Democratic,True,True,137854,0.668,-0.668
Illinois,17,02,1702,Lynch,Republican,False,False,68369,0.332,0.332
Illinois,17,03,1703,Ramirez,Democratic,True,False,111799,0.67,-0.67
Illinois,17,03,1703,Burau,Republican,False,False,55063,0.33,0.33
Illinois,17,04,1704,Garcia,Democratic,True,True,87987,0.68,-0.68
Illinois,17,04,1704,Falakos,Republican,False,False,36960,0.286,0.286
Illinois,17,04,1704,Hershey,,False,False,4435,0.034,0.034
Illinois,17,05,1705,Quigley,Democratic,True,True,172040,0.679,-0.679
Illinois,17,05,1705,Hanson,Republican,False,False,77185,0.305,0.305
Illinois,17,05,1705,Cruz,,False,False,4135,0.016,0.016
Illinois,17,06,1706,Casten,Democratic,True,True,148279,0.541,-0.541
Illinois,17,06,1706,Pekau,Republican,False,False,125625,0.459,0.459
Illinois,17,07,1707,Davis,Democratic,True,True,0,1.0,-1.0
Illinois,17,08,1708,Krishnamoorthi,Democratic,True,True,117475,0.569,-0.569
Illinois,17,08,1708,Dargis,Republican,False,False,89151,0.431,0.431
Illinois,17,09,1709,Schakowsky,Democratic,True,True,169009,0.709,-0.709
Illinois,17,09,1709,Rice,Republican,False,False,69324,0.291,0.291
Illinois,17,10,1710,Schneider,Democratic,True,True,144489,0.623,-0.623
Illinois,17,10,1710,Severino,Republican,False,False,87528,0.377,0.377
Illinois,17,11,1711,Foster,Democratic,True,True,145303,0.561,-0.561
Illinois,17,11,1711,Lauf,Republican,False,False,113650,0.439,0.439
Illinois,17,12,1712,Bost,Republican,True,True,213438,0.754,0.754
Illinois,17,12,1712,Markel,Democratic,False,False,69581,0.246,-0.246
Illinois,17,13,1713,Budzinski,Democratic,True,False,136123,0.559,-0.559
Illinois,17,13,1713,Deering,Republican,False,False,107357,0.441,0.441
Illinois,17,14,1714,Underwood,Democratic,True,True,127458,0.541,-0.541
Illinois,17,14,1714,Gryder,Republican,False,False,108045,0.459,0.459
Illinois,17,15,1715,Miller,Republican,True,True,209191,0.714,0.714
Illinois,17,15,1715,Lange,Democratic,False,False,83765,0.286,-0.286
Illinois,17,16,1716,LaHood,Republican,True,True,196009,0.666,0.666
Illinois,17,16,1716,Haderlein,Democratic,False,False,98188,0.334,-0.334
Illinois,17,17,1717,Sorensen,Democratic,True,False,119601,0.518,-0.518
Illinois,17,17,1717,King,Republican,False,False,111457,0.482,0.482
Indiana,18,01,1801,Mrvan,Democratic,True,True,112539,0.528,-0.528
Indiana,18,01,1801,Green,Republican,False,False,100486,0.472,0.472
Indiana,18,02,1802,Yakym,Republican,True,False,118650,0.635,0.635
Indiana,18,02,1802,Steury,Democratic,False,False,62547,0.335,-0.335
Indiana,18,02,1802,Henry,Libertarian,False,False,5588,0.03,0.03
Indiana,18,03,1803,Banks,Republican,True,True,131252,0.653,0.653
Indiana,18,03,1803,Snyder,Democratic,False,False,60312,0.3,-0.3
Indiana,18,03,1803,Gotsch,,False,False,9354,0.047,0.047
Indiana,18,04,1804,Baird,Republican,True,True,134442,0.682,0.682
Indiana,18,04,1804,Day,Democratic,False,False,62668,0.318,-0.318
