date,symbol,return
1/1/2018,GOOG,1
1/8/2018,GOOG,1.018172278
1/15/2018,GOOG,1.032007866
1/22/2018,GOOG,1.066782783
1/29/2018,GOOG,1.008773164
2/5/2018,GOOG,0.941527674
2/12/2018,GOOG,0.993259183
2/19/2018,GOOG,1.022282155
2/26/2018,GOOG,0.978852021
3/5/2018,GOOG,1.052448273
3/12/2018,GOOG,1.030392931
3/19/2018,GOOG,0.926821104
3/26/2018,GOOG,0.936093245
4/2/2018,GOOG,0.913638711
4/9/2018,GOOG,0.933806954
4/16/2018,GOOG,0.973444726
4/23/2018,GOOG,0.934514636
4/30/2018,GOOG,0.950990247
5/7/2018,GOOG,0.996398238
5/14/2018,GOOG,0.967456887
5/21/2018,GOOG,0.975894372
5/28/2018,GOOG,1.015668255
6/4/2018,GOOG,1.016911185
6/11/2018,GOOG,1.045389829
6/18/2018,GOOG,1.048311152
6/25/2018,GOOG,1.012175357
7/2/2018,GOOG,1.034421187
7/9/2018,GOOG,1.078558892
7/16/2018,GOOG,1.075011618
7/23/2018,GOOG,1.123631204
7/30/2018,GOOG,1.110212917
8/6/2018,GOOG,1.122823737
8/13/2018,GOOG,1.089572941
8/20/2018,GOOG,1.107436784
8/27/2018,GOOG,1.105204869
9/3/2018,GOOG,1.056793933
9/10/2018,GOOG,1.063779837
9/17/2018,GOOG,1.05793708
9/24/2018,GOOG,1.082777635
10/1/2018,GOOG,1.050007709
10/8/2018,GOOG,1.007121904
10/15/2018,GOOG,0.994765141
10/22/2018,GOOG,0.97209293
10/29/2018,GOOG,0.959681789
11/5/2018,GOOG,0.967266399
11/12/2018,GOOG,0.963038576
11/19/2018,GOOG,0.928916854
11/26/2018,GOOG,0.992923504
12/3/2018,GOOG,0.940438905
12/10/2018,GOOG,0.945446953
12/17/2018,GOOG,0.88868929
12/24/2018,GOOG,0.940892531
12/31/2018,GOOG,0.97140341
1/7/2019,GOOG,0.959137349
1/14/2019,GOOG,0.996398238
1/21/2019,GOOG,0.9898025
1/28/2019,GOOG,1.007729802
2/4/2019,GOOG,0.993495077
2/11/2019,GOOG,1.010360854
2/18/2019,GOOG,1.007385042
2/25/2019,GOOG,1.035165084
3/4/2019,GOOG,1.036371689
3/11/2019,GOOG,1.074603288
3/18/2019,GOOG,1.093691899
3/25/2019,GOOG,1.064487521
4/1/2019,GOOG,1.095188886
4/8/2019,GOOG,1.104914598
4/15/2019,GOOG,1.121698754
4/22/2019,GOOG,1.15418749
4/29/2019,GOOG,1.075456162
5/6/2019,GOOG,1.05628593
5/13/2019,GOOG,1.054498671
5/20/2019,GOOG,1.028342534
5/27/2019,GOOG,1.001270175
6/3/2019,GOOG,0.967166615
6/10/2019,GOOG,0.984685588
6/17/2019,GOOG,1.017827518
6/24/2019,GOOG,0.980657443
7/1/2019,GOOG,1.026636897
7/8/2019,GOOG,1.038712469
7/15/2019,GOOG,1.025285101
7/22/2019,GOOG,1.134436603
7/29/2019,GOOG,1.083249423
8/5/2019,GOOG,1.077824076
8/12/2019,GOOG,1.068379555
8/19/2019,GOOG,1.044509821
8/26/2019,GOOG,1.077905698
9/2/2019,GOOG,1.093174815
9/9/2019,GOOG,1.124592945
9/16/2019,GOOG,1.115856107
9/23/2019,GOOG,1.111464929
9/30/2019,GOOG,1.09686728
10/7/2019,GOOG,1.102719009
10/14/2019,GOOG,1.129972885
10/21/2019,GOOG,1.147791321
10/28/2019,GOOG,1.155602745
11/4/2019,GOOG,1.18974263
11/11/2019,GOOG,1.211063044
11/18/2019,GOOG,1.175199359
11/25/2019,GOOG,1.183927116
12/2/2019,GOOG,1.216279741
12/9/2019,GOOG,1.222820991
12/16/2019,GOOG,1.224417763
12/23/2019,GOOG,1.226504486
12/30/2019,GOOG,1.213013658
1/1/2018,AAPL,1
1/8/2018,AAPL,1.011942834
1/15/2018,AAPL,1.019771469
1/22/2018,AAPL,0.980057114
1/29/2018,AAPL,0.917142857
2/5/2018,AAPL,0.893771451
2/12/2018,AAPL,0.985314246
2/19/2018,AAPL,1.002857143
2/26/2018,AAPL,1.006914326
3/5/2018,AAPL,1.02845712
3/12/2018,AAPL,1.017257166
3/19/2018,AAPL,0.942514297
3/26/2018,AAPL,0.958742851
4/2/2018,AAPL,0.962171457
4/9/2018,AAPL,0.99845712
4/16/2018,AAPL,0.946971434
4/23/2018,AAPL,0.927542897
4/30/2018,AAPL,1.050457154
5/7/2018,AAPL,1.07765712
5/14/2018,AAPL,1.06462856
5/21/2018,AAPL,1.077600011
5/28/2018,AAPL,1.087085743
6/4/2018,AAPL,1.095428554
6/11/2018,AAPL,1.079085691
6/18/2018,AAPL,1.056685703
6/25/2018,AAPL,1.057771434
7/2/2018,AAPL,1.074114291
7/9/2018,AAPL,1.093314297
7/16/2018,AAPL,1.093942869
7/23/2018,AAPL,1.091314263
7/30/2018,AAPL,1.188514314
8/6/2018,AAPL,1.185885709
8/13/2018,AAPL,1.243314297
8/20/2018,AAPL,1.235200023
8/27/2018,AAPL,1.300742886
9/3/2018,AAPL,1.264571446
9/10/2018,AAPL,1.279085691
9/17/2018,AAPL,1.243771451
9/24/2018,AAPL,1.289942886
10/1/2018,AAPL,1.281657103
10/8/2018,AAPL,1.269200006
10/15/2018,AAPL,1.253199989
10/22/2018,AAPL,1.236000017
10/29/2018,AAPL,1.185599977
11/5/2018,AAPL,1.168400006
11/12/2018,AAPL,1.105885709
11/19/2018,AAPL,0.984514246
11/26/2018,AAPL,1.020457154
12/3/2018,AAPL,0.962800029
12/10/2018,AAPL,0.945599977
12/17/2018,AAPL,0.861314263
12/24/2018,AAPL,0.892742834
12/31/2018,AAPL,0.847199971
1/7/2019,AAPL,0.870228531
1/14/2019,AAPL,0.896114326
1/21/2019,AAPL,0.901485686
1/28/2019,AAPL,0.95154288
2/4/2019,AAPL,0.973771451
2/11/2019,AAPL,0.97382856
2/18/2019,AAPL,0.988400006
2/25/2019,AAPL,0.999828577
3/4/2019,AAPL,0.988057166
3/11/2019,AAPL,1.063542829
3/18/2019,AAPL,1.091714303
3/25/2019,AAPL,1.085428554
4/1/2019,AAPL,1.125714286
4/8/2019,AAPL,1.136399971
4/15/2019,AAPL,1.164914291
4/22/2019,AAPL,1.167428589
4/29/2019,AAPL,1.21
5/6/2019,AAPL,1.126742817
5/13/2019,AAPL,1.08
5/20/2019,AAPL,1.02268572
5/27/2019,AAPL,1.00040004
6/3/2019,AAPL,1.086571394
6/10/2019,AAPL,1.101371457
6/17/2019,AAPL,1.135885709
6/24/2019,AAPL,1.130971417
7/1/2019,AAPL,1.167028549
7/8/2019,AAPL,1.161714303
7/15/2019,AAPL,1.15765712
7/22/2019,AAPL,1.187085743
7/29/2019,AAPL,1.165828594
8/5/2019,AAPL,1.148514314
8/12/2019,AAPL,1.18
8/19/2019,AAPL,1.157942851
8/26/2019,AAPL,1.192800029
9/2/2019,AAPL,1.218628543
9/9/2019,AAPL,1.25
9/16/2019,AAPL,1.244171406
9/23/2019,AAPL,1.25040004
9/30/2019,AAPL,1.297199971
10/7/2019,AAPL,1.349771469
10/14/2019,AAPL,1.350914309
10/21/2019,AAPL,1.409028583
10/28/2019,AAPL,1.461828611
11/4/2019,AAPL,1.486514371
11/11/2019,AAPL,1.518628629
11/18/2019,AAPL,1.495885709
11/25/2019,AAPL,1.527142857
12/2/2019,AAPL,1.546914234
12/9/2019,AAPL,1.57228568
12/16/2019,AAPL,1.596800011
12/23/2019,AAPL,1.655999931
12/30/2019,AAPL,1.677999966
1/1/2018,AMZN,1
1/8/2018,AMZN,1.061880612
1/15/2018,AMZN,1.053240428
1/22/2018,AMZN,1.14067562
1/29/2018,AMZN,1.163374338
2/5/2018,AMZN,1.08986768
2/12/2018,AMZN,1.178620762
2/19/2018,AMZN,1.220365444
2/26/2018,AMZN,1.220568838
3/5/2018,AMZN,1.284548543
3/12/2018,AMZN,1.278682684
3/19/2018,AMZN,1.21675321
3/26/2018,AMZN,1.177522453
4/2/2018,AMZN,1.143262739
4/9/2018,AMZN,1.164057814
4/16/2018,AMZN,1.242730666
4/23/2018,AMZN,1.279447399
4/30/2018,AMZN,1.286224459
5/7/2018,AMZN,1.304090677
5/14/2018,AMZN,1.280871159
5/21/2018,AMZN,1.309980966
5/28/2018,AMZN,1.335519159
6/4/2018,AMZN,1.370055461
6/11/2018,AMZN,1.396073637
6/18/2018,AMZN,1.395829623
6/25/2018,AMZN,1.382918161
7/2/2018,AMZN,1.391729164
7/9/2018,AMZN,1.475039464
7/16/2018,AMZN,1.475584497
7/23/2018,AMZN,1.478489023
7/30/2018,AMZN,1.483386772
8/6/2018,AMZN,1.534650264
8/13/2018,AMZN,1.531330807
8/20/2018,AMZN,1.550181421
8/27/2018,AMZN,1.637494457
9/3/2018,AMZN,1.588159137
9/10/2018,AMZN,1.602901148
9/17/2018,AMZN,1.558008027
9/24/2018,AMZN,1.629594656
10/1/2018,AMZN,1.537375727
10/8/2018,AMZN,1.455171879
10/15/2018,AMZN,1.435174193
10/22/2018,AMZN,1.336552418
10/29/2018,AMZN,1.355036862
11/5/2018,AMZN,1.393193642
11/12/2018,AMZN,1.296361696
11/19/2018,AMZN,1.22204146
11/26/2018,AMZN,1.375083411
12/3/2018,AMZN,1.325422641
12/10/2018,AMZN,1.29514133
12/17/2018,AMZN,1.120661547
12/24/2018,AMZN,1.202483039
12/31/2018,AMZN,1.281701023
1/7/2019,AMZN,1.33472187
1/14/2019,AMZN,1.379989204
1/21/2019,AMZN,1.359137222
1/28/2019,AMZN,1.323063248
2/4/2019,AMZN,1.29213918
2/11/2019,AMZN,1.308191037
2/18/2019,AMZN,1.327399677
2/25/2019,AMZN,1.360080999
3/4/2019,AMZN,1.318645581
3/11/2019,AMZN,1.393136635
3/18/2019,AMZN,1.435776233
3/25/2019,AMZN,1.448777176
4/1/2019,AMZN,1.494768705
4/8/2019,AMZN,1.499471205
4/15/2019,AMZN,1.514628047
4/22/2019,AMZN,1.586987635
4/29/2019,AMZN,1.596612214
5/6/2019,AMZN,1.537644171
5/13/2019,AMZN,1.520575343
5/20/2019,AMZN,1.483378628
5/27/2019,AMZN,1.444156015
6/3/2019,AMZN,1.467717271
6/10/2019,AMZN,1.521120475
6/17/2019,AMZN,1.554989688
6/24/2019,AMZN,1.540613748
7/1/2019,AMZN,1.580706844
7/8/2019,AMZN,1.636103272
7/15/2019,AMZN,1.598288231
7/22/2019,AMZN,1.580820757
7/29/2019,AMZN,1.483346053
8/5/2019,AMZN,1.47060541
8/12/2019,AMZN,1.458393612
8/19/2019,AMZN,1.423450521
8/26/2019,AMZN,1.445148655
9/2/2019,AMZN,1.491701505
9/9/2019,AMZN,1.496444623
9/16/2019,AMZN,1.459687271
9/23/2019,AMZN,1.40378633
9/30/2019,AMZN,1.415339182
10/7/2019,AMZN,1.409050249
10/14/2019,AMZN,1.429869656
10/21/2019,AMZN,1.432977476
10/28/2019,AMZN,1.457474266
11/4/2019,AMZN,1.45295083
11/11/2019,AMZN,1.415208983
11/18/2019,AMZN,1.420277552
11/25/2019,AMZN,1.465089434
12/2/2019,AMZN,1.425061388
12/9/2019,AMZN,1.432660169
12/16/2019,AMZN,1.453455244
12/23/2019,AMZN,1.521226245
12/30/2019,AMZN,1.503360027
1/1/2018,FB,1
1/8/2018,FB,0.959967831
1/15/2018,FB,0.970243442
1/22/2018,FB,1.01685841
1/29/2018,FB,1.018356933
2/5/2018,FB,0.942520714
2/12/2018,FB,0.949210572
2/19/2018,FB,0.980947215
2/26/2018,FB,0.945250144
3/5/2018,FB,0.991329891
3/12/2018,FB,0.990580626
3/19/2018,FB,0.853037163
3/26/2018,FB,0.855177885
4/2/2018,FB,0.841316521
4/9/2018,FB,0.880492367
4/16/2018,FB,0.88991166
4/23/2018,FB,0.929033933
4/30/2018,FB,0.945196657
5/7/2018,FB,1.000749259
5/14/2018,FB,0.977682564
5/21/2018,FB,0.989670816
5/28/2018,FB,1.038212463
6/4/2018,FB,1.012041744
6/11/2018,FB,1.048166977
6/18/2018,FB,1.079689583
6/25/2018,FB,1.039978597
7/2/2018,FB,1.087663845
7/9/2018,FB,1.109553119
7/16/2018,FB,1.123575035
7/23/2018,FB,0.935991402
7/30/2018,FB,0.951458353
8/6/2018,FB,0.96473101
8/13/2018,FB,0.930157867
8/20/2018,FB,0.934706922
8/27/2018,FB,0.94048697
9/3/2018,FB,0.872571516
9/10/2018,FB,0.868718233
9/17/2018,FB,0.871982808
9/24/2018,FB,0.88017127
10/1/2018,FB,0.842012293
10/8/2018,FB,0.822799037
10/15/2018,FB,0.824458111
10/22/2018,FB,0.778003695
10/29/2018,FB,0.804656148
11/5/2018,FB,0.775809485
11/12/2018,FB,0.7467487
11/19/2018,FB,0.70500397
11/26/2018,FB,0.752528748
12/3/2018,FB,0.735456214
12/10/2018,FB,0.770992739
12/17/2018,FB,0.668718186
12/24/2018,FB,0.712871248
12/31/2018,FB,0.738292708
1/7/2019,FB,0.769601276
1/14/2019,FB,0.802996993
1/21/2019,FB,0.797484561
1/28/2019,FB,0.886861128
2/4/2019,FB,0.895531157
2/11/2019,FB,0.869681535
2/18/2019,FB,0.866416879
2/25/2019,FB,0.868504114
3/4/2019,FB,0.90767996
3/11/2019,FB,0.888306078
3/18/2019,FB,0.879528984
3/25/2019,FB,0.892105949
4/1/2019,FB,0.940433478
4/8/2019,FB,0.958522881
4/15/2019,FB,0.954134296
4/22/2019,FB,1.024832747
4/29/2019,FB,1.046133234
5/6/2019,FB,1.007974257
5/13/2019,FB,0.99170456
5/20/2019,FB,0.969012535
5/27/2019,FB,0.949799279
6/3/2019,FB,0.927749534
6/10/2019,FB,0.970457566
6/17/2019,FB,1.022959555
6/24/2019,FB,1.032914069
7/1/2019,FB,1.051110451
7/8/2019,FB,1.096440933
7/15/2019,FB,1.061600185
7/22/2019,FB,1.069039302
7/29/2019,FB,1.011613583
8/5/2019,FB,1.005351886
8/12/2019,FB,0.98314151
8/19/2019,FB,0.951297802
8/26/2019,FB,0.993684731
9/2/2019,FB,1.003425202
9/9/2019,FB,1.00181962
9/16/2019,FB,1.01648374
9/23/2019,FB,0.947819108
9/30/2019,FB,0.965747879
10/7/2019,FB,0.985763961
10/14/2019,FB,0.994648114
10/21/2019,FB,1.005565924
10/28/2019,FB,1.036232212
11/4/2019,FB,1.021353973
11/11/2019,FB,1.044153063
11/18/2019,FB,1.064062085
11/25/2019,FB,1.079154362
12/2/2019,FB,1.07599677
12/9/2019,FB,1.038854668
12/16/2019,FB,1.104094174
12/23/2019,FB,1.113727585
12/30/2019,FB,1.098474677
1/1/2018,NFLX,1
1/8/2018,NFLX,1.053526314
1/15/2018,NFLX,1.049859525
1/22/2018,NFLX,1.307681316
1/29/2018,NFLX,1.273536771
2/5/2018,NFLX,1.188008929
2/12/2018,NFLX,1.32634879
2/19/2018,NFLX,1.361636203
2/26/2018,NFLX,1.433639606
3/5/2018,NFLX,1.578360846
3/12/2018,NFLX,1.516500807
3/19/2018,NFLX,1.433115838
3/26/2018,NFLX,1.406495542
4/2/2018,NFLX,1.375541688
4/9/2018,NFLX,1.484118227
4/16/2018,NFLX,1.560883762
4/23/2018,NFLX,1.484642138
4/30/2018,NFLX,1.524310626
5/7/2018,NFLX,1.554645379
5/14/2018,NFLX,1.543787729
5/21/2018,NFLX,1.672889188
5/28/2018,NFLX,1.714033927
6/4/2018,NFLX,1.717081758
6/11/2018,NFLX,1.866660325
6/18/2018,NFLX,1.957664585
6/25/2018,NFLX,1.864041067
7/2/2018,NFLX,1.944140151
7/9/2018,NFLX,1.884851558
7/16/2018,NFLX,1.719367491
7/23/2018,NFLX,1.691556658
7/30/2018,NFLX,1.633839649
8/6/2018,NFLX,1.647078369
8/13/2018,NFLX,1.508547985
8/20/2018,NFLX,1.708748028
8/27/2018,NFLX,1.750940446
9/3/2018,NFLX,1.660459949
9/10/2018,NFLX,1.73608262
9/17/2018,NFLX,1.720034256
9/24/2018,NFLX,1.781656251
10/1/2018,NFLX,1.673174902
10/8/2018,NFLX,1.617029334
10/15/2018,NFLX,1.58421832
10/22/2018,NFLX,1.427829801
10/29/2018,NFLX,1.471974849
11/5/2018,NFLX,1.445164026
11/12/2018,NFLX,1.36296959
11/19/2018,NFLX,1.232534887
11/26/2018,NFLX,1.362588686
12/3/2018,NFLX,1.262631595
12/10/2018,NFLX,1.270727128
12/17/2018,NFLX,1.173341555
12/24/2018,NFLX,1.219486551
12/31/2018,NFLX,1.417067479
1/7/2019,NFLX,1.607647926
1/14/2019,NFLX,1.614838792
1/21/2019,NFLX,1.609838468
1/28/2019,NFLX,1.618410391
2/4/2019,NFLX,1.65517405
2/11/2019,NFLX,1.699461815
2/18/2019,NFLX,1.728748895
2/25/2019,NFLX,1.701604831
3/4/2019,NFLX,1.664841172
3/11/2019,NFLX,1.721319979
3/18/2019,NFLX,1.71917711
3/25/2019,NFLX,1.697985568
4/1/2019,NFLX,1.740511364
4/8/2019,NFLX,1.672174897
4/15/2019,NFLX,1.716034085
4/22/2019,NFLX,1.78508499
4/29/2019,NFLX,1.833563455
5/6/2019,NFLX,1.71931997
5/13/2019,NFLX,1.687937538
5/20/2019,NFLX,1.687651824
5/27/2019,NFLX,1.634744468
6/3/2019,NFLX,1.718510341
6/10/2019,NFLX,1.617838959
6/17/2019,NFLX,1.758226497
6/24/2019,NFLX,1.749226145
7/1/2019,NFLX,1.812229053
7/8/2019,NFLX,1.777465551
7/15/2019,NFLX,1.500547638
7/22/2019,NFLX,1.599028482
7/29/2019,NFLX,1.518310298
8/5/2019,NFLX,1.471165225
8/12/2019,NFLX,1.441973336
8/19/2019,NFLX,1.38787559
8/26/2019,NFLX,1.398876104
9/2/2019,NFLX,1.381827735
9/9/2019,NFLX,1.400780928
9/16/2019,NFLX,1.289347081
9/23/2019,NFLX,1.252821471
9/30/2019,NFLX,1.299061872
10/7/2019,NFLX,1.347349808
10/14/2019,NFLX,1.311014722
10/21/2019,NFLX,1.318253252
10/28/2019,NFLX,1.365826902
11/4/2019,NFLX,1.38849469
11/11/2019,NFLX,1.404971627
11/18/2019,NFLX,1.478546615
11/25/2019,NFLX,1.498452291
12/2/2019,NFLX,1.463641119
12/9/2019,NFLX,1.421496228
12/16/2019,NFLX,1.604362046
12/23/2019,NFLX,1.567169809
12/30/2019,NFLX,1.540882896
1/1/2018,MSFT,1
1/8/2018,MSFT,1.015988162
1/15/2018,MSFT,1.020523846
1/22/2018,MSFT,1.066560788
1/29/2018,MSFT,1.040707528
2/5/2018,MSFT,0.999886586
2/12/2018,MSFT,1.043202153
2/19/2018,MSFT,1.066560788
2/26/2018,MSFT,1.055108299
3/5/2018,MSFT,1.094681923
3/12/2018,MSFT,1.072683931
3/19/2018,MSFT,0.988547432
3/26/2018,MSFT,1.034924537
4/2/2018,MSFT,1.023131885
4/9/2018,MSFT,1.055448462
4/16/2018,MSFT,1.077219615
4/23/2018,MSFT,1.086517721
4/30/2018,MSFT,1.079033925
5/7/2018,MSFT,1.107835296
5/14/2018,MSFT,1.092640876
5/21/2018,MSFT,1.115319183
5/28/2018,MSFT,1.142873327
6/4/2018,MSFT,1.152398171
6/11/2018,MSFT,1.13538944
6/18/2018,MSFT,1.138564483
6/25/2018,MSFT,1.118153972
7/2/2018,MSFT,1.147068848
7/9/2018,MSFT,1.19548699
7/16/2018,MSFT,1.205011845
7/23/2018,MSFT,1.221000086
7/30/2018,MSFT,1.225082192
8/6/2018,MSFT,1.235967769
8/13/2018,MSFT,1.219866193
8/20/2018,MSFT,1.229164299
8/27/2018,MSFT,1.273727174
9/3/2018,MSFT,1.227009826
9/10/2018,MSFT,1.285519905
9/17/2018,MSFT,1.295611741
9/24/2018,MSFT,1.296859059
10/1/2018,MSFT,1.271459286
10/8/2018,MSFT,1.242431086
10/15/2018,MSFT,1.232112502
10/22/2018,MSFT,1.212835884
10/29/2018,MSFT,1.203764617
11/5/2018,MSFT,1.242431086
11/12/2018,MSFT,1.227916981
11/19/2018,MSFT,1.168726586
11/26/2018,MSFT,1.257398758
12/3/2018,MSFT,1.188570106
12/10/2018,MSFT,1.202290471
12/17/2018,MSFT,1.113845116
12/24/2018,MSFT,1.138337643
12/31/2018,MSFT,1.155799951
1/7/2019,MSFT,1.165665049
1/14/2019,MSFT,1.221340249
1/21/2019,MSFT,1.215217095
1/28/2019,MSFT,1.165438221
2/4/2019,MSFT,1.198208364
2/11/2019,MSFT,1.22712324
2/18/2019,MSFT,1.258305913
2/25/2019,MSFT,1.27599497
3/4/2019,MSFT,1.253089914
3/11/2019,MSFT,1.314321367
3/18/2019,MSFT,1.327247991
3/25/2019,MSFT,1.337339827
4/1/2019,MSFT,1.359451143
4/8/2019,MSFT,1.371470623
4/15/2019,MSFT,1.398911443
4/22/2019,MSFT,1.472842681
4/29/2019,MSFT,1.461616862
5/6/2019,MSFT,1.441546594
5/13/2019,MSFT,1.452205512
5/20/2019,MSFT,1.431454758
5/27/2019,MSFT,1.402426547
6/3/2019,MSFT,1.489964747
6/10/2019,MSFT,1.501870892
6/17/2019,MSFT,1.553123913
6/24/2019,MSFT,1.518993128
7/1/2019,MSFT,1.554144403
7/8/2019,MSFT,1.575008401
7/15/2019,MSFT,1.549155141
7/22/2019,MSFT,1.602675959
7/29/2019,MSFT,1.552330093
8/5/2019,MSFT,1.561514955
8/12/2019,MSFT,1.543599069
8/19/2019,MSFT,1.51252972
8/26/2019,MSFT,1.56321576
9/2/2019,MSFT,1.577276367
9/9/2019,MSFT,1.557092685
9/16/2019,MSFT,1.581131634
9/23/2019,MSFT,1.561741613
9/30/2019,MSFT,1.566163872
10/7/2019,MSFT,1.583852929
10/14/2019,MSFT,1.558113175
10/21/2019,MSFT,1.595759075
10/28/2019,MSFT,1.629663202
11/4/2019,MSFT,1.655062974
11/11/2019,MSFT,1.700532913
11/18/2019,MSFT,1.696223978
11/25/2019,MSFT,1.716521165
12/2/2019,MSFT,1.720716596
12/9/2019,MSFT,1.752239432
12/16/2019,MSFT,1.784896252
12/23/2019,MSFT,1.802471974
12/30/2019,MSFT,1.788184527
